Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	15.714565	0.0	15.714565	15.714565	706.0	1.6123832	1.6019492	8.524717	-0.43850273	28000	9.3206765e-08	0.004939396	0.022154542	-0.0042863595	-1.4330275	0.031880114	0.257	1.0	1582.3080096244812
28	16.142391	0.0	16.142391	16.142391	720.0	1.5736401	1.6269749	8.450341	-0.6379929	29000	-1.1268258e-07	0.0056383116	0.16899878	-0.0047898926	-1.433015	0.47525677	0.653	1.0	1652.2726538181305
29	16.56538	0.0	16.56538	16.56538	744.0	1.672287	1.5936844	8.462691	-0.4845089	30000	1.4424324e-07	0.0065721236	0.19372372	-0.006085255	-1.4330195	0.8014788	0.695	1.0	1706.9417142868042
30	9.160427	0.0	9.160427	9.160427	220.0	1.5107616	1.6575742	8.44202	-0.4207256	31000	3.671646e-08	0.020063933	0.2709034	-0.018282281	-1.4330497	1.3901358	0.668	1.0	1754.8852710723877
31	17.24598	0.0	17.24598	17.24598	842.0	1.6326416	1.5605177	8.306518	-0.48296845	32000	4.3213366e-09	0.026297174	0.1426988	-0.02548588	-1.4331027	1.6311638	0.733	1.0	1823.0119214057922
32	9.831886	0.56731224	10.399199	9.264574	297.5	1.510853	2.011786	8.459717	-0.37097886	33000	4.2881815e-08	0.05007173	0.030496556	-0.0378796	-1.4331692	0.18659545	0.316	1.0	1908.1472856998444
33	17.664616	0.0	17.664616	17.664616	948.0	1.5185003	1.5746918	8.073856	-0.4809648	34000	3.1232833e-08	0.05191773	0.42331973	-0.05096347	-1.4332767	2.2606468	0.82	1.0	1962.8251287937164
34	10.206148	0.25730228	10.46345	9.948846	339.0	1.4345943	1.9858605	8.471581	-0.15462479	35000	1.199767e-07	0.031948984	0.01922263	-0.027433584	-1.4333906	0.14725688	0.384	1.0	2032.3207993507385
35	19.265722	0.0	19.265722	19.265722	1000.0	1.3723016	1.1096717	8.120192	-0.20183054	36000	9.715557e-08	0.053875174	0.3401397	-0.052030314	-1.4334772	2.4514425	0.908	1.0	2070.865880012512
36	9.481267	0.02635765	9.507625	9.454909	368.5	1.6502893	1.8126197	8.270149	0.7645947	37000	2.8073787e-08	0.42080948	0.12057009	-0.3967295	-1.43355	0.11006839	0.542	1.0	2131.631031513214
37	9.157133	0.07235384	9.229487	9.08478	346.0	1.1656259	1.9801915	8.175694	-0.3266166	38000	-5.877018e-08	0.054751832	0.054539494	-0.049616188	-1.4336244	0.09789851	0.549	1.0	2185.5031855106354
38	8.693367	0.15709509	8.881434	8.496906	303.66666	1.262909	2.2497447	8.108706	-0.3278896	39000	-2.6881695e-08	0.038599364	0.012463357	-0.03431021	-1.4336522	0.02638261	0.338	2.0	2259.1753554344177
39	8.784714	0.17993064	9.016294	8.577597	309.33334	1.0772078	2.279333	7.9967675	-0.55004466	40000	-9.724498e-08	0.011669211	0.053984698	-0.006293221	-1.4336765	0.14197813	0.627	1.0	2311.9242787361145
40	8.659537	0.12551689	8.785054	8.53402	337.5	0.77906054	2.0377429	7.9358425	-0.43883505	41000	7.6562166e-08	0.010151531	0.07730108	-0.0077665015	-1.4336838	0.2050124	0.679	1.0	2357.572847366333
41	8.9408455	0.2656726	9.3073015	8.685816	266.0	1.0585178	2.3224652	8.026901	-0.6412285	42000	-7.659197e-09	0.06941921	0.019107182	-0.061653644	-1.433694	0.081110716	0.339	1.0	2412.1412119865417
42	9.029591	0.3247589	9.57824	8.77024	249.0	1.3280156	2.2412715	7.996347	-0.26654533	43000	-5.812198e-08	0.0149414595	0.023384701	-0.010703414	-1.4337225	0.040409576	0.196	1.0	2467.7157158851624
43	10.030139	1.36051	11.954166	9.059856	329.33334	0.8992471	2.1576772	7.9686737	-0.47113082	44000	-5.3584575e-08	0.3689007	0.19150975	-0.3502155	-1.4337591	0.39321008	0.55	1.0	2516.0681281089783
44	9.151154	0.31827354	9.51192	8.800657	220.5	1.6026253	2.4387567	8.108193	-0.3823172	45000	6.4428896e-08	0.010908507	0.0012496975	-0.0074872766	-1.4338014	0.019665577	0.26	3.0	2580.542753458023
45	9.369921	0.0	9.369921	9.369921	241.0	0.9725421	1.6018934	7.9766507	-0.167005	46000	1.6629697e-08	0.4498925	0.24889065	-0.43395516	-1.4339616	0.6761887	0.617	1.0	2625.0517733097076
46	9.273264	0.45848837	9.990727	8.81466	235.75	1.6713387	2.4314013	8.165294	-0.19506916	47000	2.2366644e-08	0.021330828	-0.00126705	-0.011879195	-1.434018	0.01820291	0.171	7.0	2694.6880695819855
47	12.3734255	0.0	12.3734255	12.3734255	1000.0	0.49883246	1.2524961	8.124376	-0.0737229	48000	2.6941299e-08	0.02719672	-0.0050757052	-0.024321845	-1.4342215	0.015485874	0.149	10.0	2741.19220328331
