Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	9.104788	1.2229769	10.299594	7.3762283	769.5	0.80759805	1.0368901	3.8081381	-0.60498476	162000	-4.346172e-09	0.7523053	-0.004415116	-0.39238134	0.8216544	0.007078999	0.068500005	79.0	1024.7688975334167
27	9.795418	1.1684923	11.067108	7.3392267	915.0	0.79382664	1.2516915	5.1908326	-0.84915483	168000	9.934108e-09	0.49314916	-0.004897766	-0.15864399	0.8047611	0.0074352864	0.071666665	79.0	1078.4566605091095
28	10.033446	0.4119307	10.672823	9.453792	1000.0	0.64108413	1.2761828	6.040793	-0.87595034	174000	2.4835268e-08	0.26694915	-0.0029087563	-0.085127376	0.79484564	0.016775995	0.26000002	4.0	1126.6668679714203
29	5.732858	3.875487	9.051374	-0.23724358	506.4	1.2634919	1.7974796	6.2470217	-0.52586854	180000	0.0	1.48307	-0.0061162547	-0.27092353	0.7949615	0.010542964	0.11900001	79.0	1180.6560151576996
30	9.449403	0.37587166	9.881956	8.718662	1000.0	0.2693244	1.1479373	5.0371065	-0.91776264	186000	1.2417634e-08	0.36492774	-0.0055091926	-0.19478588	0.77245337	0.009337396	0.09383333	79.0	1228.548376083374
31	7.7031403	2.8357782	10.474439	1.674562	854.3333	1.1420946	1.4906352	6.3689137	0.035939313	192000	-3.973643e-08	0.8649567	-0.008056228	-0.29862723	0.7626732	0.011653866	0.10833334	79.0	1280.7798833847046
32	8.090371	3.7131405	10.386112	-0.14624777	860.6667	0.63255125	1.1898836	5.850384	-0.6369019	198000	2.483527e-09	0.5310904	-0.0026703242	-0.049379457	0.7457454	0.017438684	0.29816666	4.0	1330.9295189380646
33	7.590164	5.000304	11.357424	0.21646263	843.8333	0.9855948	1.5716853	5.7778077	-1.4229314	204000	2.4835268e-08	1.4186249	-0.0048360014	-0.60581034	0.74530834	0.0042111664	0.061666667	79.0	1380.29083776474
34	10.619391	0.73110527	11.329999	9.537957	1000.0	0.73911554	0.9648104	4.71422	-0.5160362	210000	2.483527e-09	0.5537271	-0.007095806	-0.25052536	0.7372858	0.015221931	0.24200003	34.0	1430.3929529190063
35	10.848662	0.8195059	11.477034	9.122864	961.0	0.75779	1.2915889	5.928309	-0.60533243	216000	4.967054e-09	0.40203848	-0.0070507103	-0.16255735	0.73735017	0.0070643784	0.10933334	79.0	1485.6279454231262
36	11.083618	0.8108713	12.3896885	9.700692	1000.0	0.9121258	1.324069	6.3807783	-0.0691776	222000	-7.450581e-09	0.109587885	-0.0025587555	-0.026302645	0.72110647	0.01545236	0.2165	4.0	1537.3274221420288
37	11.303845	0.25189692	11.56824	10.774843	1000.0	0.76838607	1.4217507	6.687732	-0.15284735	228000	3.7252903e-09	0.558688	-0.0064666565	-0.1510527	0.7209833	0.007694635	0.082666665	79.0	1584.521609544754
38	10.77473	0.51707333	11.674997	10.167786	1000.0	0.8511999	1.0353682	5.2910624	-0.060559936	234000	6.208817e-09	0.19223827	-0.005465914	-0.13405381	0.7102668	0.00844875	0.07433333	79.0	1633.5776312351227
39	11.081136	0.639082	12.288791	10.268798	1000.0	0.5462934	1.349286	6.709225	-0.5150672	240000	0.0	0.12566526	-0.005761996	-0.06722173	0.69079596	0.0065187975	0.051999997	79.0	1687.298354625702
40	11.597	0.9576983	13.471909	10.645691	1000.0	0.90062404	1.5017635	7.2291203	0.017813716	246000	-2.9802322e-08	0.27832106	-0.0017130971	-0.07158141	0.67972547	0.018817803	0.2465	4.0	1736.7093086242676
41	11.789409	0.48770267	12.619612	11.179365	1000.0	0.8612648	1.2017367	6.1424756	0.007856287	252000	-1.1175871e-08	0.07138565	-0.0051710363	-0.04203577	0.6794986	0.018774888	0.27466667	9.0	1783.3505191802979
42	12.257431	0.47601676	13.0157585	11.5088415	1000.0	1.0479147	1.5256068	7.071085	0.24071878	258000	1.6142925e-08	0.13675934	-0.0016500201	-0.060022414	0.67884445	0.020075385	0.30033335	2.0	1828.3086063861847
43	12.916703	0.31235632	13.312177	12.374187	1000.0	0.93856055	1.3501588	6.5614796	-0.092456445	264000	1.1175871e-08	0.075467475	-0.0032508273	-0.017889736	0.67859674	0.016150663	0.19600002	1.0	1869.7253007888794
44	13.178271	0.33623964	13.680041	12.564948	1000.0	1.0917532	1.4720168	6.981759	0.1557342	270000	4.967054e-09	0.199457	0.0030390571	-0.025254667	0.6785007	0.030626247	0.42983332	2.0	1921.3103861808777
45	14.161343	0.56393063	15.004561	13.496311	1000.0	1.1058645	1.3737122	6.407757	0.14823517	276000	0.0	0.15719704	-0.0049463147	-0.016569296	0.67822665	0.016748851	0.30633333	8.0	1972.469863653183
46	14.507466	0.1713113	14.70995	14.175676	1000.0	1.1457781	1.3252028	6.633323	0.028329302	282000	2.2351742e-08	0.12070206	-0.0024501968	-0.011158697	0.6771701	0.015178432	0.29299998	10.0	2023.5078465938568
47	14.700068	0.6101895	15.3947935	13.590652	1000.0	1.1214986	1.1894568	6.563234	0.43291068	288000	-4.967054e-09	0.06700176	-0.0053236876	-0.036865834	0.674721	0.0058418424	0.061833333	79.0	2074.740669965744
48	15.119503	0.35878044	15.830318	14.752261	1000.0	1.195431	1.2920792	7.250231	0.51830405	294000	-2.7318796e-08	0.03649903	-0.007278962	-0.005318638	0.67099804	0.008353769	0.0745	79.0	2124.9397625923157
49	14.937401	0.56296027	15.800348	14.027106	1000.0	1.1535529	1.2219448	7.5356503	0.61125034	300000	-1.6142925e-08	0.025975967	-0.006558647	-0.016345568	0.664431	0.004249672	0.065166675	79.0	2176.51558303833
50	15.314346	0.124250904	15.434217	15.091102	1000.0	1.1413709	1.3134454	7.8263135	0.58194965	306000	1.3659398e-08	0.010716272	-0.008362316	-0.00454255	0.64471674	0.007578611	0.085	79.0	2231.299537420273
51	14.821438	0.5092576	15.760885	14.254611	1000.0	1.266634	1.526105	7.9846916	0.6120761	312000	-4.967054e-09	0.20432125	-0.0055621676	-0.0625117	0.63160944	0.0033257008	0.0385	79.0	2285.776330471039
52	15.275645	0.6049497	15.958288	14.223904	1000.0	1.1247462	1.1823946	6.8748803	0.58073634	318000	-6.208817e-09	0.039215893	-0.002142048	-0.029348804	0.6454547	0.016869327	0.21433334	3.0	2337.3802196979523
53	15.172597	0.5602069	15.934237	14.231718	1000.0	1.1495247	1.3037356	7.710908	0.6353583	324000	3.7252903e-09	0.009848782	-0.007647025	-0.0012660444	0.6456571	0.005695924	0.078666665	79.0	2387.4501094818115
54	12.941696	5.768726	15.938149	0.058962017	877.1667	1.367801	1.7097327	7.8253145	0.5702405	330000	-1.4901161e-08	1.7270135	-0.006404569	-1.2151886	0.6433769	0.0023209	0.044	79.0	2437.2239623069763
55	15.364955	0.31670922	15.763141	14.867452	1000.0	1.1394273	1.0031183	6.1404185	0.6240115	336000	1.1641532e-09	0.31442764	-0.0034599567	-0.23245633	0.653722	0.006329652	0.050833333	79.0	2483.411898612976
56	15.810052	0.27934998	16.156157	15.431899	1000.0	1.153003	1.205808	7.0296845	0.57108337	342000	-7.450581e-09	0.029604586	-0.0054310686	-0.01648541	0.64343435	0.0068719722	0.08183333	79.0	2539.627527475357
57	15.610751	0.27126712	16.097387	15.248099	1000.0	1.1506474	1.2195576	7.709756	0.6940342	348000	1.1175871e-08	0.012592728	-0.006298073	-0.0052794726	0.63241416	0.004040061	0.0455	79.0	2591.759694814682
58	12.723007	5.8436584	15.727007	-0.31923398	844.8333	1.2234279	1.3718663	7.8225627	0.6875214	354000	0.0	0.5402842	-0.0042776186	-0.1470141	0.6232891	0.015300256	0.15466668	10.0	2643.0569179058075
59	12.8098755	5.381897	15.897788	0.8011539	896.6667	1.154655	1.1461042	6.800382	-0.4588073	360000	2.7318796e-08	0.4553722	-0.0014405189	-0.07456119	0.62377745	0.019795533	0.26783332	4.0	2698.1617379188538
60	15.714782	0.75133246	16.79479	14.837996	1000.0	1.0464299	1.1270376	6.6517205	0.39784202	366000	-6.208817e-09	0.099810936	-0.0019784225	-0.08343157	0.62433857	0.016757952	0.25616667	3.0	2750.8776857852936
61	15.387584	0.19472177	15.723578	15.073489	1000.0	1.1903536	1.340463	7.7487473	0.63034916	372000	-2.483527e-09	0.012231351	-0.00706316	-0.0015362214	0.624976	0.0058268756	0.065	79.0	2806.5094537734985
